Date
01-Jan-01
01-May-01
25-Dec-01
26-Dec-01
31-Dec-01
15-Apr-01
13-Apr-01
16-Apr-01
01-Jan-02
01-May-02
25-Dec-02
26-Dec-02
31-Dec-02
31-Mar-02
29-Mar-02
01-Apr-02
01-Jan-03
01-May-03
25-Dec-03
26-Dec-03
31-Dec-03
20-Apr-03
18-Apr-03
21-Apr-03
01-Jan-04
01-May-04
25-Dec-04
26-Dec-04
31-Dec-04
11-Apr-04
09-Apr-04
12-Apr-04
01-Jan-05
01-May-05
25-Dec-05
26-Dec-05
31-Dec-05
27-Mar-05
25-Mar-05
28-Mar-05
01-Jan-06
01-May-06
25-Dec-06
26-Dec-06
31-Dec-06
16-Apr-06
14-Apr-06
17-Apr-06
01-Jan-07
01-May-07
25-Dec-07
26-Dec-07
31-Dec-07
08-Apr-07
06-Apr-07
09-Apr-07
01-Jan-08
01-May-08
25-Dec-08
26-Dec-08
31-Dec-08
23-Mar-08
21-Mar-08
24-Mar-08
01-Jan-09
01-May-09
25-Dec-09
26-Dec-09
31-Dec-09
12-Apr-09
10-Apr-09
13-Apr-09
01-Jan-10
01-May-10
25-Dec-10
26-Dec-10
31-Dec-10
04-Apr-10
02-Apr-10
05-Apr-10
01-Jan-11
01-May-11
25-Dec-11
26-Dec-11
31-Dec-11
24-Apr-11
22-Apr-11
25-Apr-11
01-Jan-12
01-May-12
25-Dec-12
26-Dec-12
31-Dec-12
08-Apr-12
06-Apr-12
09-Apr-12
01-Jan-13
01-May-13
25-Dec-13
26-Dec-13
31-Dec-13
31-Mar-13
29-Mar-13
01-Apr-13
01-Jan-14
01-May-14
25-Dec-14
26-Dec-14
31-Dec-14
20-Apr-14
18-Apr-14
21-Apr-14
01-Jan-15
01-May-15
25-Dec-15
26-Dec-15
31-Dec-15
05-Apr-15
03-Apr-15
06-Apr-15
01-Jan-16
01-May-16
25-Dec-16
26-Dec-16
31-Dec-16
27-Mar-16
25-Mar-16
28-Mar-16
01-Jan-17
01-May-17
25-Dec-17
26-Dec-17
31-Dec-17
16-Apr-17
14-Apr-17
17-Apr-17
01-Jan-18
01-May-18
25-Dec-18
26-Dec-18
31-Dec-18
01-Apr-18
30-Mar-18
02-Apr-18
01-Jan-19
01-May-19
25-Dec-19
26-Dec-19
31-Dec-19
21-Apr-19
19-Apr-19
22-Apr-19
01-Jan-20
01-May-20
25-Dec-20
26-Dec-20
31-Dec-20
12-Apr-20
10-Apr-20
13-Apr-20
01-Jan-21
01-May-21
25-Dec-21
26-Dec-21
31-Dec-21
04-Apr-21
02-Apr-21
05-Apr-21
01-Jan-22
01-May-22
25-Dec-22
26-Dec-22
31-Dec-22
17-Apr-22
15-Apr-22
18-Apr-22
01-Jan-23
01-May-23
25-Dec-23
26-Dec-23
31-Dec-23
09-Apr-23
07-Apr-23
10-Apr-23
01-Jan-24
01-May-24
25-Dec-24
26-Dec-24
31-Dec-24
31-Mar-24
29-Mar-24
01-Apr-24
01-Jan-25
01-May-25
25-Dec-25
