,Gross Price,Accrued Interest,Clean Price
Base,1000.6061,1.8501,998.7561
Parallel +10bps,1000.6118,1.9109,998.701
Parallel -10bps,1000.5699,1.7602,998.8097
Slope +10bps,1000.5649,1.7614,998.8036
Slope -10bps,1000.6168,1.9097,998.7071
Curvature +10bps,1000.5901,1.8464,998.7437
Curvature -10bps,1000.5916,1.8246,998.7669
